10567,Bern,Switzerland
10568,Barcelona,Spain
10569,København,Denmark
10570,Stavern,Norway
10571,København,Denmark
10572,Reggio Emilia,Italy
10573,Cowes,UK
10574,Resende,Brazil
10575,Walla,Poland
10576,Tsawassen,Canada
10577,Cork,Ireland
10578,Marseille,France
10579,Köln,Germany
10580,Bräcke,Sweden
10581,Elgin,USA
10582,Stavern,Norway
10583,Graz,Austria
10584,Bern,Switzerland
10585,Caracas,Venezuela
10586,København,Denmark
10587,Paris,France
10588,Leipzig,Germany
10589,Rio de Janeiro,Brazil
10590,Oulu,Finland
10591,Cork,Ireland
10592,Paris,France
10593,Resende,Brazil
10594,Torino,Italy
10595,Cowes,UK
10596,Cork,Ireland
10597,Luleå,Sweden
10598,München,Germany
10599,Torino,Italy
10600,Bergamo,Italy
10601,São Paulo,Brazil
10602,Toulouse,France
10603,Strasbourg,France
10604,Caracas,Venezuela
10605,Toulouse,France
10606,Cowes,UK
10607,Buenos Aires,Argentina
10608,Stavern,Norway
10609,Tsawassen,Canada
10610,Leipzig,Germany
10611,Reggio Emilia,Italy
10612,Frankfurt a.M.,Germany
10613,Bräcke,Sweden
10614,Köln,Germany
10615,Walla,Poland
10616,Helsinki,Finland
10617,Buenos Aires,Argentina
10618,Stavern,Norway
10619,I. de Margarita,Venezuela
10620,Buenos Aires,Argentina
10621,Bern,Switzerland
10622,Torino,Italy
10623,Portland,USA
10624,München,Germany
10625,Cowes,UK
10626,Torino,Italy
10627,Bräcke,Sweden
10628,Barquisimeto,Venezuela
10629,Köln,Germany
10630,Lander,USA
10631,København,Denmark
10632,Anchorage,USA
10633,Caracas,Venezuela
10634,København,Denmark
10635,Anchorage,USA
10636,Köln,Germany
10637,Seattle,USA
10638,Marseille,France
10639,Helsinki,Finland
10640,Cunewalde,Germany
10641,Cowes,UK
10642,Brandenburg,Germany
10643,Portland,USA
10644,Portland,USA
10645,Buenos Aires,Argentina
10646,Stavern,Norway
10647,Barcelona,Spain
10648,London,UK
10649,México D.F.,Mexico
10650,Marseille,France
10651,Stuttgart,Germany
10652,Sevilla,Spain
10653,Montréal,Canada
10654,México D.F.,Mexico
10655,Walla,Poland
10656,Stavern,Norway
10657,San Cristóbal,Venezuela
10658,Genève,Switzerland
10659,Walla,Poland
10660,Anchorage,USA
10661,Helsinki,Finland
10662,Resende,Brazil
10663,Århus,Denmark
10664,Reggio Emilia,Italy
10665,Paris,France
10666,Bergamo,Italy
10667,Rio de Janeiro,Brazil
10668,Montréal,Canada
10669,Paris,France
10670,Reggio Emilia,Italy
10671,Walla,Poland
10672,Salzburg,Austria
10673,Luleå,Sweden
10674,Cork,Ireland
10675,Rio de Janeiro,Brazil
10676,México D.F.,Mexico
10677,Lyon,France
10678,Köln,Germany
10679,Lisboa,Portugal
10680,Caracas,Venezuela
10681,Cork,Ireland
10682,São Paulo,Brazil
10683,Anchorage,USA
10684,San Cristóbal,Venezuela
10685,Lille,France
10686,Montréal,Canada
10687,München,Germany
10688,Leipzig,Germany
10689,London,UK
10690,San Cristóbal,Venezuela
10691,São Paulo,Brazil
10692,I. de Margarita,Venezuela
10693,Walla,Poland
10694,Charleroi,Belgium
10695,Toulouse,France
10696,Luleå,Sweden
10697,Nantes,France
10698,Montréal,Canada
10699,Boise,USA
10700,Montréal,Canada
10701,Sevilla,Spain
10702,Sevilla,Spain
10703,Rio de Janeiro,Brazil
10704,Genève,Switzerland
10705,Seattle,USA
10706,Graz,Austria
10707,Lyon,France
10708,Graz,Austria
10709,Aachen,Germany
10710,Lille,France
10711,Sevilla,Spain
10712,Buenos Aires,Argentina
10713,Cunewalde,Germany
10714,San Cristóbal,Venezuela
10715,I. de Margarita,Venezuela
10716,Torino,Italy
10717,Köln,Germany
10718,Lyon,France
10719,Bergamo,Italy
10720,México D.F.,Mexico
10721,Anchorage,USA
10722,Cunewalde,Germany
10723,Bergamo,Italy
10724,Cork,Ireland
10725,Cork,Ireland
10726,Lyon,France
10727,Torino,Italy
10728,México D.F.,Mexico
10729,Bräcke,Sweden
10730,Campinas,Brazil
10731,Oulu,Finland
10732,Portland,USA
10733,Resende,Brazil
10734,Anchorage,USA
10735,Bräcke,Sweden
10736,México D.F.,Mexico
10737,Lander,USA
10738,Leipzig,Germany
10739,Helsinki,Finland
10740,San Cristóbal,Venezuela
10741,Cunewalde,Germany
10742,Stuttgart,Germany
10743,Sevilla,Spain
